id,customer_account_id,aggregation_provider_id,institution_transaction_id,date,type,description,amount,running_balance,pending,exclude,plaid_transaction_id,amount_currency_type_id,running_balance_currency_type_id,plaid_category_id,category_1,category_2,category_3,plaid_currency_code,authorized_date,street_address,city,region,postal_code,country,latitude,longitude,store_number,reference_number,ppd_id,payee,payment_channel,removed
3013352,3942,-1,,2020-09-02,17,BILL RAIMER BUSBILLPAY,1000.00,,False,False,6XedmzwkK4Cv599m6bKzCjMEqQkz6OUaNJyaN,1,1,18063000,Service,Telecommunication Services,,USD,,,,,,,,,,,,,online,False
3014100,3942,-1,,2020-09-03,17,CAPITAL ONE ONLINE PMT,1500.00,,False,False,6XedmzwkK4Cv599m6bKJhjAAxO4zoxIa1B9qD,1,1,16000000,Payment,,,USD,,,,,,,,,,,,,other,False
3014101,3942,-1,,2020-09-03,17,DIALOGTECH INC PREFUNDING,-4500.00,,False,False,wbRNOoLY81tEvRRbYkO9h688JpPdRJFLpnMOj,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
3014298,3942,-1,,2020-09-03,17,DEBIT,2500.00,,False,False,wbRNOoLY81tEvRRbYkO9hbarRXpreDILj4m0b,1,1,21006000,Transfer,Debit,,USD,,,,,,,,,,,,,other,True
3014932,3942,-1,,2020-09-03,17,WIRE OUT 200903L1B77D1C003793202024717325;BNF DAVID HANYCH,2500.00,,False,False,ZOXd7egVnmTDoZZANkgETegkZbo4ypfRBYOAB,1,1,21011000,Transfer,Wire,,USD,,,,,,,,,,,,,in store,False
3020439,3942,-1,,2020-09-04,17,MOBILE DEPOSIT,-2002.00,,False,False,QpkdmwgVX0t4j88neLaBIa7eQK1vXYTE3jVbr,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3020772,3942,-1,,2020-09-08,17,CAPITAL ONE MOBILE PMT,4000.00,,False,False,jO3qVvKmknTxL88yO7ZQsyebB9QVVYSRnQb4Q,1,1,16000000,Payment,,,USD,,,,,,,,,,,,,other,False
3020774,3942,-1,,2020-09-08,17,GOOGLE APPS_COMME,275.00,,False,False,rbr0Vxae8dtXr00b7qZYfn6Odg0qqzIBLKnyA,1,1,19019000,Shops,Digital Purchase,,USD,,,,,,,,,,,,,online,False
3020775,3942,-1,,2020-09-08,17,GUSTO NET 516054,5670.60,,False,False,4Xn5Qjxy3eCk8ww5BjxphvxbVk3MMBFko1ZYq,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3020776,3942,-1,,2020-09-08,17,GUSTO TAX 516058,2060.26,,False,False,0XnK8bjP1RCV4NNQeP1XfR8BAdvPPwIr4xDLV,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3020777,3942,-1,,2020-09-08,17,PEOPLES GAS AUTOPAY,58.00,,False,False,xbrNvJDe7Ptv1wwe4AOrTZDrb9azz0FMbAVDQ,1,1,18068004,Service,Utilities,Gas,USD,,,,,,,,,,,,,other,False
3020778,3942,-1,,2020-09-08,17,STRIPE TRANSFER,-939.43,,False,False,vbgY0m6e8DtYpyybjKEVuKjNLZn33eImqYvR0,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
3021109,3942,-1,,2020-09-08,17,MOBILE DEPOSIT,-14125.45,,False,False,pbxNj0re87t0AYYbO1aDhObdNk1Nb8iJ3qL53,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3020773,3942,-1,,2020-09-08,17,Comcast,231.10,,False,False,aOdqj16pL0TKMpp1yNx0TLpjgqEPPxCZAyzdb,1,1,18009000,Service,Cable,,USD,,,,,,,,,,,,,online,False
3021929,3942,-1,,2020-09-09,17,CHECK PAID 4453,1500.00,,False,False,KYPEaOgX03CkyYYmxjPPc576KM1VJauQvLo6j,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
3021771,3942,-1,,2020-09-09,17,GUSTO NET 520226,7062.15,,False,False,XpXq9BgOnPt6ZzzKxyPPSggYvVDdwDs4ba8wj,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3021772,3942,-1,,2020-09-09,17,GUSTO TAX 520229,2164.88,,False,False,Np359rmVnkt0Appw6d33I99PN40o70iRwLrJv,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3021773,3942,-1,,2020-09-09,17,HEALTH CARE SERV OBPPAYMT,2755.33,,False,False,nNAKVR0ej7Car117mLDDSYYxwvbO6bsAop633,1,1,14001000,Healthcare,Healthcare Services,,USD,,,,,,,,,,,,,in store,False
3021774,3942,-1,,2020-09-09,17,TOPTAL.COM TOPTAL.COM,2824.64,,False,False,pbxNj0re87t0AYYbO1aaIwwX5xzVazHJb4j11,1,1,18000000,Service,,,USD,,,,,,,,,,,,,online,False
3022490,3942,-1,,2020-09-10,17,PAYPAL TRANSFER,156.00,,False,False,qbryvj4e8Etq1OObBPo8Ujbzyke4QLIJ3YrYw,1,1,21010004,Transfer,Third Party,PayPal,USD,,,,,,,,,,,,,other,False
3022491,3942,-1,,2020-09-10,17,Verizon Wireless,421.67,,False,False,PpK59dgVnvtr0OOL16v9UpNqBR9g0Vfm4x7xY,1,1,18063000,Service,Telecommunication Services,,USD,,,,,,,,,,,,,online,False
3022813,3942,-1,,2020-09-10,17,MOBILE DEPOSIT,-82.50,,False,False,7XxwbN6Ak4C0pnna9Z5bsyP9QOq1PdcQMzpLa,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3026690,3942,-1,,2020-09-11,17,AMERICAN FUNDS INVESTMENT,568.45,,False,False,xbrNvJDe7Ptv1wwe4AOVHoaBVnem96uMNpzOb,1,1,18020007,Service,Financial,Financial Planning and Investments,USD,,,,,,,,,,,,,online,False
3026691,3942,-1,,2020-09-11,17,LEASING SERVICES CNTRCT PMT,253.79,,False,False,aOdqj16pL0TKMpp1yNxmHbEXZnzYq0CZL3X7O,1,1,19005007,Shops,Automotive,Car Dealers and Leasing,USD,,,,,,,,,,,,,in store,False
3027379,3942,-1,,2020-09-14,17,LC SPV II Svc SPVII Serv,9583.16,,False,False,dOLwVA1ePmTvoZZqX8RZhEOZx3XaVAcbxkNMM,1,1,13005000,Food and Drink,Restaurants,,USD,,,,,,,,,,,,,in store,False
3028047,3942,-1,,2020-09-14,17,MOBILE DEPOSIT,-434.00,,False,False,yb4N931e8qtO1qqbgvdAUqr9obMm3zTOK8B9N,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3028414,3942,-1,,2020-09-15,17,CHECK,500.00,,False,False,7XxwbN6Ak4C0pnna9Z5gcyarAjMMDNSQaxgJq,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,True
3028746,3942,-1,,2020-09-15,17,CHECK PAID 4454,500.00,,False,False,oNrgvBjeOXC1voo8zDBXuAvEBwXJZLIBDm4M1,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
3028747,3942,-1,,2020-09-15,17,MOBILE DEPOSIT,-18950.57,,False,False,8ex6NRLvA5tjmggdn7zRIro7NenkMwUyPbxzX,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3028045,3942,-1,,2020-09-15,17,GUSTO NET 578362,4938.46,,False,False,kOyBnvkeAMT50wwxAzZXCPMgryZLYKtRrYe0Q,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3028046,3942,-1,,2020-09-15,17,GUSTO TAX 578367,1520.78,,False,False,AX87EpkZ1YCod11K8Y7RIqxLKdEBeQT6vy4QV,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3029173,3942,-1,,2020-09-16,17,DEBIT,1500.00,,False,False,8ex6NRLvA5tjmggdn7zXc7N95B8Do4tyx4DR6,1,1,21006000,Transfer,Debit,,USD,,,,,,,,,,,,,other,True
3028742,3942,-1,,2020-09-16,17,GUSTO NET 585495,274.80,,False,False,bpwBX1LeDRtmEggbMxN1cpdrqyLVmPFqXEJLM,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3028743,3942,-1,,2020-09-16,17,GUSTO NET 585495,2146.08,,False,False,gOPDVgBe37TYgMMDnoXmSBgdqAmeYkHqye8Op,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3028744,3942,-1,,2020-09-16,17,GUSTO TAX 585502,70.67,,False,False,7XxwbN6Ak4C0pnna9Z5gc7bmY4LAv5FQoV0RP,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3028745,3942,-1,,2020-09-16,17,GUSTO TAX 585502,571.42,,False,False,9XxLmKD0veCVgLLxEQdPI5xvq7BkKwId3egRb,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3029294,3942,-1,,2020-09-16,17,WIRE OUT 200916L1B77D1C001041202026005032;BNF CHAD MAIN,1500.00,,False,False,DpxXNn0bB6t1Lpp5j8r1hE4Ndq8nqzFZX5OkV,1,1,21011000,Transfer,Wire,,USD,,,,,,,,,,,,,in store,False
3029606,3942,-1,,2020-09-17,17,FIRST INSURANCE INSURANCE,908.88,,False,False,rbr0Vxae8dtXr00b7qZXuqBZkjvgL9fBz1e59,1,1,18030000,Service,Insurance,,USD,,,,,,,,,,,,,online,False
3029607,3942,-1,,2020-09-17,17,STRIPE TRANSFER,-261.87,,False,False,jO3qVvKmknTxL88yO7ZxSVDRawL9kEfRJDmMp,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
3030246,3942,-1,,2020-09-18,17,PM LLP BILL PMT,-584.40,,False,False,DpxXNn0bB6t1Lpp5j8rKIJLr6qm6yrCZBbnR9,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
3030883,3942,-1,,2020-09-21,17,MOBILE DEPOSIT,-176.60,,False,False,dOLwVA1ePmTvoZZqX8R8tqjZ8MQbMBHb9qrY0,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3030884,3942,-1,,2020-09-21,17,MOBILE DEPOSIT,-163.20,,False,False,mNkynave07Cmy994X6P6s5Aj1XYMX6IMd0Obd,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3030885,3942,-1,,2020-09-21,17,MOBILE DEPOSIT,-80.70,,False,False,zbaNpvPeVBtXbVVQe0w0ieAJa7dO7zsO4mxe1,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3030882,3942,-1,,2020-09-21,17,MOBILE DEPOSIT,-581.54,,False,False,wbRNOoLY81tEvRRbYkOksxXd3VQoVpFLZE1QL,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3030881,3942,-1,,2020-09-21,17,CAPITAL ONE MOBILE PMT 026239800202873 MAIN W CHAD,500.00,,False,False,pbxNj0re87t0AYYbO1avUD7J69EvbACJ39YMm,1,1,16000000,Payment,,,USD,,,,,,,,,,,,,other,False
3030879,3942,-1,,2020-09-22,17,"GUSTO TAX 620236 6semjot5kkl Percipient, LLC",1716.17,,False,False,PpK59dgVnvtr0OOL16v6s0MBgK6AKztmMyk9a,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3030880,3942,-1,,2020-09-22,17,"GUSTO TAX 620244 6semjot7cm7 Percipient, LLC",2060.22,,False,False,DpxXNn0bB6t1Lpp5j8r8T1VD7BaRBvcZoN15R,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3030877,3942,-1,,2020-09-22,17,"GUSTO NET 620234 6semjot5kk1 Percipient, LLC",5101.53,,False,False,1Xn5eZrqPRCVaAA94xJxUM9Pqr8Xr6tm1VKPj,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3030878,3942,-1,,2020-09-22,17,"GUSTO NET 620242 6semjot7ck6 Percipient, LLC",5670.62,,False,False,LNqka0MVjyCAKNNyb656c4g79vNBv1F0YLwqJ,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3032576,3942,-1,,2020-09-23,17,CHECK PAID 4455,500.00,,False,False,EpdZa1jgmLtPD773XvVpUMz01vVPPMhpVDnBM,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
3032577,3942,-1,,2020-09-23,17,OVERDRAFT FEE OVERDRAFT FUNDS,60.00,,False,False,RXAw96gEndCarXX1QDdLCZdw7KYQQZIyM3qDY,1,1,10001000,Bank Fees,Overdraft,,USD,,,,,,,,,,,,,other,False
3030876,3942,-1,,2020-09-23,17,TOPTAL.COM TOPTAL.COM,2824.64,,False,False,6XedmzwkK4Cv599m6bKMfqMgXaXxeasaQ3rvA,1,1,18000000,Service,,,USD,,,,,,,,,,,,,online,False
3031841,3942,-1,,2020-09-23,17,CHECK,500.00,,False,False,aOdqj16pL0TKMpp1yNx4F08ge4eYpgIZABbw7,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,True
3032575,3942,-1,,2020-09-24,17,AMERICAN FUNDS INVESTMENT,568.45,,False,False,QpkdmwgVX0t4j88neLa6uPdg1EyXXPUEpr4mB,1,1,18020007,Service,Financial,Financial Planning and Investments,USD,,,,,,,,,,,,,online,False
3032798,3942,-1,,2020-09-24,17,MEMO CREATED BY NSF SUPPORT,-2824.64,,False,False,rbr0Vxae8dtXr00b7qZzSK1LnaoMzDTBkAeKq,1,1,10007000,Bank Fees,Insufficient Funds,,USD,,,,,,,,,,,,,other,True
3032799,3942,-1,,2020-09-24,17,MEMO CREATED BY NSF SUPPORT,-30.00,,False,False,4Xn5Qjxy3eCk8ww5Bjxguer7vRJOB1skgE81x,1,1,10007000,Bank Fees,Insufficient Funds,,USD,,,,,,,,,,,,,other,True
3032800,3942,-1,,2020-09-24,17,MEMO CREATED BY NSF SUPPORT,30.00,,False,False,xbrNvJDe7Ptv1wwe4AO9FkY3Zgn80vFMPjyAE,1,1,10007000,Bank Fees,Insufficient Funds,,USD,,,,,,,,,,,,,other,True
3033188,3942,-1,,2020-09-24,17,REFUND OF OD/NSF FEE OVERDRAFT FUNDS,-30.00,,False,False,9XxLmKD0veCVgLLxEQdOhB885RPLNJIdmYEZp,1,1,10007000,Bank Fees,Insufficient Funds,,USD,,,,,,,,,,,,,other,False
3033189,3942,-1,,2020-09-24,17,RETURN ITEM FEE OVERDRAFT FUNDS,30.00,,False,False,Opyam5EVnAtjvpp6xwzmhMZZmKoVO3i8qrEmd,1,1,10001000,Bank Fees,Overdraft,,USD,,,,,,,,,,,,,other,False
3033190,3942,-1,,2020-09-24,17,TOPTAL.COM TOPTAL.COM ST-Q4C3X4N7E7I0 PERCIPIENT LLC,-2824.64,,False,False,7XxwbN6Ak4C0pnna9Z56ILBB7J6adNfQxvX6Z,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
3033696,3942,-1,,2020-09-25,17,MOBILE DEPOSIT,-5983.60,,False,False,7XxwbN6Ak4C0pnna9Z5pcbzRrMD5pwFQbKoo5,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3033697,3942,-1,,2020-09-25,17,MOBILE DEPOSIT,-611.70,,False,False,gOPDVgBe37TYgMMDnoXgSgR1EXwkDrhqrQyy6,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3034023,3942,-1,,2020-09-28,17,ANALYSIS SERVICE CHARGE,232.36,,False,False,YeXBR9gVnqtz5QQkBKqPH64VMYg0KZtQ8kndD,1,1,10000000,Bank Fees,,,USD,,,,,,,,,,,,,other,False
3034569,3942,-1,,2020-09-28,17,CHECK PAID 4456,1750.00,,False,False,wbRNOoLY81tEvRRbYkOjTm1KvBAQROtLKbMaL,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,False
3034121,3942,-1,,2020-09-28,17,CHECK,1750.00,,False,False,BXxZ8QA5PdCnwjj1NPOAf60YL7jm09I9mvpDm,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,True
3034568,3942,-1,,2020-09-29,17,CAPITAL ONE MOBILE PMT,564.24,,False,False,6XedmzwkK4Cv599m6bKyCE7MndJXoaFawr93w,1,1,16000000,Payment,,,USD,,,,,,,,,,,,,other,False
3034756,3942,-1,,2020-09-29,17,CREDIT,-10000.00,,False,False,eOD6mgPeq7TnXNNv4ZJzTj9PMjkR9YCdexYk1,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
3035166,3942,-1,,2020-09-30,17,GUSTO NET 688518,8144.58,,False,False,XpXq9BgOnPt6ZzzKxyP4FoLXznDaqDF4OMV4a,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3035167,3942,-1,,2020-09-30,17,GUSTO NET 688693,904.40,,False,False,nNAKVR0ej7Car117mLDvFRapZKbAJbfAM5xAB,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3035168,3942,-1,,2020-09-30,17,GUSTO TAX 688524,2564.44,,False,False,pbxNj0re87t0AYYbO1axFmLbo1zJOztJ7NdJA,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3035169,3942,-1,,2020-09-30,17,GUSTO TAX 688697,253.44,,False,False,Np359rmVnkt0Appw6d3LFZVDXa0re0CRp5XRx,1,1,18008000,Service,Business Services,,USD,,,,,,,,,,,,,in store,False
3035170,3942,-1,,2020-09-30,17,STRIPE TRANSFER,-483.79,,False,False,PpK59dgVnvtr0OOL16vpFZwMB0XAxXCmagymm,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
3036018,3942,-1,,2020-10-01,17,COMED UTIL_BIL,72.40,,False,False,1Xn5eZrqPRCVaAA94xJeFkEeMAMoqasmgyqkN,1,1,18068000,Service,Utilities,,USD,,,,,,,,,,,,,other,False
3036019,3942,-1,,2020-10-01,17,COMED UTIL_BIL,86.48,,False,False,DpxXNn0bB6t1Lpp5j8r7s8Ke1j1375FZR4qkr,1,1,18068000,Service,Utilities,,USD,,,,,,,,,,,,,other,False
3036020,3942,-1,,2020-10-01,17,PEOPLES GAS AUTOPAY,61.03,,False,False,PpK59dgVnvtr0OOL16vxSoVL0v0mg7ImAR7zN,1,1,18068004,Service,Utilities,Gas,USD,,,,,,,,,,,,,other,False
3036278,3942,-1,,2020-10-01,17,CHECK,2900.00,,False,False,3XnZ8xa3BbCKJxx1eOr3tVkYgZNx6DFKK71Ap,1,1,21012001,Transfer,Withdrawal,Check,USD,,,,,,,,,,,,,other,True
