id,customer_account_id,aggregation_provider_id,institution_transaction_id,date,type,description,amount,running_balance,pending,exclude,plaid_transaction_id,amount_currency_type_id,running_balance_currency_type_id,plaid_category_id,category_1,category_2,category_3,plaid_currency_code,authorized_date,street_address,city,region,postal_code,country,latitude,longitude,store_number,reference_number,ppd_id,payee,payment_channel,removed
3073489,3685,-1,,2018-11-20,17,STRIPE TRANSFER X,-8228.85,,False,False,PyvzdyV1gJhMLKLApbQbCPaygY5aQ7Fmm55gb,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
3073485,3685,-1,,2018-11-21,17,MOBILE DEPOSIT,-1500.00,,False,False,3KbpxK3ma4SE141PM3z3fgVdnMbVyJuKKMMVB,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3073486,3685,-1,,2018-11-21,17,MOBILE DEPOSIT,-1500.00,,False,False,BbdzQb5KAqtM101JY696CvkKqaXkxPU99RRg5,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3073487,3685,-1,,2018-11-21,17,MOBILE DEPOSIT,-166.00,,False,False,qNEAjNeJ4MtXb7bMxZYZcwx04VpxmNtJJ55qo,1,1,21007000,Transfer,Deposit,,USD,,,,,,,,,,,,,other,False
3073488,3685,-1,,2018-11-21,17,STRIPE TRANSFER X,-15625.53,,False,False,yQqJ3QeP1MuPbobMk464uEkNeAXkBwhOOPPrr,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
3073481,3685,-1,,2018-11-23,17,ADP PAYROLL FEES ADP - FEES 2R7T7 5573734 Fireplace Inc,93.95,,False,False,AoYzpoZykPS4KgKxB9k9hJo7P0Oo51C66xxXx,1,1,21009000,Transfer,Payroll,,USD,,,,,,,,,,,,,other,False
3073482,3685,-1,,2018-11-23,17,RMG*REGUS TX Ref5543286NM5S Crd9044 Dt11/21,3197.47,,False,False,vXD4mXeL6MU8bPbML070U5L3QbJLkysmmPPnO,1,1,19022000,Shops,Equipment Rental,,USD,,,,,,,,,,,,,online,False
3073483,3685,-1,,2018-11-23,17,STRIPE TRANSFER X,-5430.57,,False,False,K13zO1XdgjtDmEmp04d4FE1kgxa1vehQQKKnD,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
3073484,3685,-1,,2018-11-23,17,"VSP PAYMENT EBILLPYMTS 2577733 FIREPLACE, INC.",39.61,,False,False,kQMqvQeZkEuDxYx4Bo9oFOB48N5BEViRRZZaw,1,1,19029000,Shops,Glasses and Optometrist,,USD,,,,,,,,,,,,,in store,False
3073477,3685,-1,,2018-11-26,17,ANALYSIS SERVICE CHARGE,228.62,,False,False,LPyz0PVwMrfmyYypRawaHyLq9ZbLQwT00jjEM,1,1,10000000,Bank Fees,,,USD,,,,,,,,,,,,,other,False
3073478,3685,-1,,2018-11-26,17,PAPERTRAIL INC. 2066838769 OR Ref5542950NTLY Crd9044 Dt11/25,425.00,,False,False,6v4pzvkawJFqmDm3AgzgUExZkN9xyahaaZZdE,1,1,21006000,Transfer,Debit,,USD,,,,,,,,,,,,,online,False
3073479,3685,-1,,2018-11-26,17,SHOPIFY * 57155830 IL Ref5542950NPJH Crd9044 Dt11/23,84.53,,False,False,jQnPvQmbKEuAy9yrRgzgIKBVpXJB4nuRRkkDg,1,1,19000000,Shops,,,USD,,,,,,,,,,,,,online,False
3073480,3685,-1,,2018-11-26,17,STRIPE TRANSFER X,-5903.73,,False,False,0BRpbBPAj0CwQvQLBYMYFgAPMZ1AoNurrBBdg,1,1,21005000,Transfer,Credit,,USD,,,,,,,,,,,,,other,False
