date,current_ratio,debt_equity_ratio,acid_ratio,net_profit_margin,return_on_equity,debt_asset_ratio,gross_profit_margin,current_assets,non_current_assets,current_liabilities,non_current_liabilities,equity,net_revenue,qr_top,expenses,sales,net_income
1996,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,168.05,0.0,-168.05,0.0,0.0,0.0,0.0,-168.05
1997,8.868154744594285,1.4210959711310382,1.5585765801696705,0.0,-0.1553552725598264,0.5869639155473706,0.0,256149.91000000003,132453.74000000002,28884.24,199212.08,160507.32999999996,0.0,45018.3,49228.64999999999,0.0,-24935.66
1997,1.5529327639532968,0.3968012398005602,0.5753633884576335,0.0,0.0079618376728274,0.2840785277776648,0.0,58137.47,101808.48,37437.21,8000.0,114508.74,0.0,21540.0,17692.65,0.0,911.7000000000008
1997,0.0,-1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,403.3200000000001,0.0,-403.3200000000001,0.0,0.0,0.0,0.0,0.0
1998,1.896844473996829,-6.234111965737817,1.111070906233777,0.0,1.1153806157331991,1.1910543768543622,0.0,1580511.97,65357.05000000012,833232.2400000001,1127087.26,-314450.48,0.0,925780.1,453328.2199999999,0.0,-350731.97000000003
1998,0.0,-1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,403.3200000000001,0.0,-403.3200000000001,0.0,0.0,0.0,0.0,0.0
1998,1.1331601947536474,1.867959105717064,0.0,0.0,0.8705633289958733,0.6513199933686031,0.0,336761.3400000001,402027.22,297187.7599999999,184000.0,257600.7999999998,0.0,0.0,41438.37,0.0,224257.81
1999,0.0397215535799622,-1.434702944350692,0.0,0.0,1.0569886298753557,3.300421501615735,0.0,7371.0,48854.170000000006,185566.76,0.0,-129341.59,0.0,0.0,139616.83000000002,0.0,-136712.59
1999,0.0,-1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,403.3200000000001,0.0,-403.3200000000001,0.0,0.0,0.0,0.0,0.0
1999,27.43540878526356,1.1283897548512758,14.640033677811395,0.0,1.1793642938984952,0.5301612415110142,0.0,434693.75,949496.9500000004,15844.26,718000.0,650346.4400000001,0.0,231960.5,252663.19999999992,0.0,766995.3700000001
1999,2.54101747624217,0.678878390823616,0.6367254922836293,0.0,-0.6593375828499072,0.4043642437321357,0.0,9241118.919999996,2534030.029999998,3636778.9699999993,1124670.2299999995,7013699.750000002,0.0,2315629.88,1843807.1999999988,0.0,-4624395.84
2000,1.7389390358697665,0.3897852819672906,1.4586858318461748,0.0,-0.207658628201169,0.2804643904528444,0.0,137091.05,144000.0,78836.03,0.0,202255.02,0.0,114997.0,3500.0,0.0,-42000.0
2000,3.4519444384089577,0.3578236442422064,0.0814790450880685,0.0,-0.3436465144566261,0.263527333435047,0.0,9214613.579999998,914878.3600000005,2669398.000000001,0.0,7460093.940000003,0.0,217500.0,667355.22,0.0,-2563635.28
2000,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,125.0,0.0,-125.0,0.0,0.0,125.0,0.0,-125.0
2000,0.0,-1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,403.3200000000001,0.0,-403.3200000000001,0.0,0.0,0.0,0.0,0.0
2000,0.0,-0.0,0.0,0.0,1.0,-0.0,0.0,-35.099999999998545,0.0,0.0,0.0,-35.099999999999994,0.0,-12645.0,11.7,0.0,-35.099999999999994
2000,10.53305353050162,0.1483580370432707,3.8398682120197263,0.0,0.2007132803349513,0.1291914474907624,0.0,25009412.12999999,7965024.28000001,2374374.35,1885640.82,28714421.24,0.0,9117284.59,3113537.72,0.0,5763365.68
2000,-0.1535037866124639,-0.8669238988254524,-0.1535037866124639,0.0,1.0,-6.514497277676951,0.0,-2066.25,0.0,13460.58,0.0,-15526.830000000002,0.0,-2066.25,2437.26,0.0,-15526.830000000002
2000,10.488455547744646,0.2917491584433654,5.929638958957303,0.0,0.9014093154291896,0.22585589201772,0.0,2663212.899999999,1843725.09,253918.5,764000.0,3489019.49,0.0,1505645.0299999998,984291.4399999996,0.0,3145034.67
2001,0.0,-1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1500.0,0.0,-1500.0,0.0,0.0,0.0,0.0,0.0
2001,2.918175416699265,0.6552650891002431,1.1795722336599206,0.0,0.3790803835071107,0.3958671595354114,0.0,63032.91,27528.049999999992,21600.11000000001,14250.0,54710.84999999998,0.0,25478.890000000003,12871.760000000002,0.0,20739.81
2001,33.610311448789204,0.0288234454303221,16.218684668144814,0.0,1.0775207447352904,0.0280159298063685,0.0,1576965.9,97763.81000000004,46919.11,0.0,1627810.6,0.0,760966.25,630316.26,0.0,1753999.69
2001,3.091681875678308,0.3231123827128626,0.1230262869046011,0.0,-0.7899615251682285,0.2442063024535868,0.0,6835429.17,2218021.079999999,2210909.6100000013,0.0,6842540.640000017,0.0,272000.0,1198837.0700000008,0.0,-5405343.84
2001,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-140.3999999999869,0.0,0.0,0.0,-140.4,0.0,-50580.0,0.0,0.0,0.0
2001,1.22153520621643,1.5413992983069926,0.93952536381259,0.0,-0.0069044252503869,0.6065159848489092,0.0,3844411.46,1344564.0799999998,3147196.6100000003,0.0,2041778.9299999988,0.0,2956871.04,1889352.14,0.0,-14097.309999999992
2001,1.534649763998306,0.4217084566945684,-0.0026958503071895,0.0,0.5560049969744046,0.2966209103623317,0.0,441179.38,528000.0,287478.87000000017,0.0,681700.5099999999,0.0,-775.0,0.0,0.0,379028.89
